"Away","Home","Competition_Name","Gender","Country","Season_End_Year","Round","Wk","Day","Date","Time","HomeGoals","Home_xG","AwayGoals","Away_xG","Attendance","Venue","Referee","Notes","MatchURL","Season","HomeImageLink","AwayImageLink","RunDate"
"AFC Bournemouth","Arsenal FC","Premier League","M","ENG",2020,NA,"8","Sun",2019-10-06,"14:00",1,1.2,0,0.6,60326,"Emirates Stadium","Martin Atkinson",NA,"https://fbref.com/en/matches/9575566f/Arsenal-Bournemouth-October-6-2019-Premier-League",2019,"https://assets.stickpng.com/images/580b57fcd9996e24bc43c4df.png","https://logodownload.org/wp-content/uploads/2019/10/bournemouth-fc-logo-1.png",2023-09-11
"AFC Bournemouth","West Ham United","Premier League","M","ENG",2020,NA,"21","Wed",2020-01-01,"17:30",4,2.4,0,0.6,59917,"London Stadium","Graham Scott",NA,"https://fbref.com/en/matches/9ae01aab/West-Ham-United-Bournemouth-January-1-2020-Premier-League",2019,"https://logodownload.org/wp-content/uploads/2019/05/west-ham-united-logo-3.png","https://logodownload.org/wp-content/uploads/2019/10/bournemouth-fc-logo-1.png",2023-09-11
"AFC Bournemouth","Liverpool FC","Premier League","M","ENG",2020,NA,"29","Sat",2020-03-07,"12:30",2,1.8,1,1.4,53323,"Anfield","Paul Tierney",NA,"https://fbref.com/en/matches/a24ed8fc/Liverpool-Bournemouth-March-7-2020-Premier-League",2019,"https://assets.stickpng.com/images/580b57fcd9996e24bc43c4e5.png","https://logodownload.org/wp-content/uploads/2019/10/bournemouth-fc-logo-1.png",2023-09-11
"AFC Bournemouth","Manchester City","Premier League","M","ENG",2024,NA,"11","Sat",2023-11-04,"",NA,NA,NA,NA,NA,"Etihad Stadium","","","https://fbref.com/en/stathead/matchup/teams/b8fd03ef/4ba7cbea/Manchester-City-vs-Bournemouth-History",2023,"https://cdn.freebiesupply.com/images/large/2x/manchester-city-logo-png-transparent.png","https://logodownload.org/wp-content/uploads/2019/10/bournemouth-fc-logo-1.png",2023-09-11
"AFC Bournemouth","Manchester United","Premier League","M","ENG",2023,NA,"19","Tue",2023-01-03,"20:00",3,2.2,0,0.6,73322,"Old Trafford","Michael Salisbury",NA,"https://fbref.com/en/matches/63fc7f12/Manchester-United-Bournemouth-January-3-2023-Premier-League",2022,"https://assets.stickpng.com/images/580b57fcd9996e24bc43c4e7.png","https://logodownload.org/wp-content/uploads/2019/10/bournemouth-fc-logo-1.png",2023-09-11
"AFC Bournemouth","Leicester City","Premier League","M","ENG",2020,NA,"4","Sat",2019-08-31,"15:00",3,2,1,0.6,31613,"King Power Stadium","Peter Bankes",NA,"https://fbref.com/en/matches/3d899563/Leicester-City-Bournemouth-August-31-2019-Premier-League",2019,"https://vectorseek.com/wp-content/uploads/2023/08/Premier-League-Logo-Vector.svg-.png","https://logodownload.org/wp-content/uploads/2019/10/bournemouth-fc-logo-1.png",2023-09-11
"AFC Bournemouth","Southampton","Premier League","M","ENG",2023,NA,"33","Thu",2023-04-27,"19:45",0,0.5,1,0.9,30414,"St. Mary's Stadium","Darren England",NA,"https://fbref.com/en/matches/ccabe10f/Southampton-Bournemouth-April-27-2023-Premier-League",2022,"https://vectorseek.com/wp-content/uploads/2023/08/Premier-League-Logo-Vector.svg-.png","https://logodownload.org/wp-content/uploads/2019/10/bournemouth-fc-logo-1.png",2023-09-11
"AFC Bournemouth","Chelsea FC","Premier League","M","ENG",2024,NA,"38","Sun",2024-05-19,"",NA,NA,NA,NA,NA,"Stamford Bridge","","","https://fbref.com/en/stathead/matchup/teams/cff3d9bb/4ba7cbea/Chelsea-vs-Bournemouth-History",2023,"https://logodownload.org/wp-content/uploads/2017/02/chelsea-fc-logo-0.png","https://logodownload.org/wp-content/uploads/2019/10/bournemouth-fc-logo-1.png",2023-09-11
"AFC Bournemouth","Southampton","Premier League","M","ENG",2020,NA,"6","Fri",2019-09-20,"20:00",1,2.5,3,1.2,30168,"St. Mary's Stadium","Chris Kavanagh",NA,"https://fbref.com/en/matches/ebbb65f5/Southampton-Bournemouth-September-20-2019-Premier-League",2019,"https://vectorseek.com/wp-content/uploads/2023/08/Premier-League-Logo-Vector.svg-.png","https://logodownload.org/wp-content/uploads/2019/10/bournemouth-fc-logo-1.png",2023-09-11
"AFC Bournemouth","Nottingham Forest","Premier League","M","ENG",2023,NA,"6","Sat",2022-09-03,"15:00",2,1.9,3,0.8,28720,"The City Ground","Michael Oliver",NA,"https://fbref.com/en/matches/05f32555/Nottingham-Forest-Bournemouth-September-3-2022-Premier-League",2022,"https://cdn.freebiesupply.com/logos/large/2x/nottingham-forest-fc-logo-png-transparent.png","https://logodownload.org/wp-content/uploads/2019/10/bournemouth-fc-logo-1.png",2023-09-11
