"Season","Squad","Comp","Player","Nation","Pos","Age","Gls","G+A","G_minus_PK","PK","PKatt","xAG_Expected","npxG+xAG_Expected","PrgC_Progression","PrgP_Progression","PrgR_Progression","Gls_Per_Minutes","Ast_Per_Minutes","G+A_Per_Minutes","G_minus_PK_Per_Minutes","G+A_minus_PK_Per_Minutes","xG_Per_Minutes","xAG_Per_Minutes","xG+xAG_Per_Minutes","npxG_Per_Minutes","npxG+xAG_Per_Minutes","PlayerURL","Gls_Standard","Sh_Standard","SoT_Standard","SoT_percent_Standard","Sh_per_90_Standard","SoT_per_90_Standard","G_per_Sh_Standard","G_per_SoT_Standard","Dist_Standard","FK_Standard","PK_Standard","PKatt_Standard","npxG_per_Sh_Expected","G_minus_xG_Expected","np:G_minus_xG_Expected","xG_Expected","npxG_Expected","Cmp_Total","Att_Total","Cmp_percent_Total","TotDist_Total","PrgDist_Total","Cmp_Short","Att_Short","Cmp_percent_Short","Cmp_Medium","Att_Medium","Cmp_percent_Medium","Cmp_Long","Att_Long","Cmp_percent_Long","xAG","xA","A_minus_xAG","KP","Final_Third","PPA","CrsPA","PrgP","Ast","Att","Live_Pass_Types","Dead_Pass_Types","FK_Pass_Types","TB_Pass_Types","Sw_Pass_Types","Crs_Pass_Types","TI_Pass_Types","CK_Pass_Types","In_Corner_Kicks","Out_Corner_Kicks","Str_Corner_Kicks","Cmp_Outcomes","Off_Outcomes","Blocks_Outcomes","SCA_SCA","SCA90_SCA","PassLive_SCA_Types","PassDead_SCA_Types","TO_SCA_Types","Sh_SCA_Types","Fld_SCA_Types","Def_SCA_Types","GCA_GCA","GCA90_GCA","PassLive_GCA_Types","PassDead_GCA_Types","TO_GCA_Types","Sh_GCA_Types","Fld_GCA_Types","Def_GCA_Types","Tkl_Tackles","TklW_Tackles","Def 3rd_Tackles","Mid 3rd_Tackles","Att 3rd_Tackles","Tkl_Challenges","Att_Challenges","Tkl_percent_Challenges","Lost_Challenges","Blocks_Blocks","Sh_Blocks","Pass_Blocks","Tkl+Int","Clr","Err","Touches_Touches","Def Pen_Touches","Def 3rd_Touches","Mid 3rd_Touches","Att 3rd_Touches","Att Pen_Touches","Live_Touches","Att_Take_Ons","Succ_Take_Ons","Succ_percent_Take_Ons","Tkld_Take_Ons","Tkld_percent_Take_Ons","Carries_Carries","TotDist_Carries","PrgDist_Carries","PrgC_Carries","Final_Third_Carries","CPA_Carries","Mis_Carries","Dis_Carries","Rec_Receiving","PrgR_Receiving","Mn_per_MP_Playing_Time","Min_percent_Playing_Time","Starts_Starts","Mn_per_Start_Starts","Compl_Starts","Subs_Subs","Mn_per_Sub_Subs","unSub_Subs","PPM_Team_Success","onG_Team_Success","onGA_Team_Success","Plus_Minus_Team_Success","Plus_Minus90_Team_Success","On_minus_Off_Team_Success","onxG_Team_Success_xG_","onxGA_Team_Success_xG","xGPlus_Minus_Team_Success_xG","xGPlus_Minus90_Team_Success_xG","On_minus_Off_Team_Success_xG","MP","2CrdY","Fls","Fld","Off","Crs","TklW","PKwon","PKcon","OG","Recov","Won_Aerial_Duels","Lost_Aerial_Duels","Won_percent_Aerial_Duels","CrdY","CrdR","Int","GA","GA90","SoTA","Saves","Save_percent","W","D","L","CS","CS_percent","PKatt_Kicks","PKA_Kicks","PKsv_Kicks","PKm_Kicks","Save_percent_Kicks","Starts_Playing_Time","MP_Playing_Time","Min_Playing_Time","Mins_Per_90_Playing_Time","GA_Goals","PKA_Goals","FK_Goals","CK_Goals","OG_Goals","PSxG_Expected","PSxG_per_SoT_Expected","PSxGPlus_Minus_Expected","_per_90_Expected","Cmp_Launched","Att_Launched","Cmp_percent_Launched","Att_Passes","Thr_Passes","Launch_percent_Passes","AvgLen_Passes","Att_Goal_Kicks","Launch_percent_Goal_Kicks","AvgLen_Goal_Kicks","Opp_Crosses","Stp_Crosses","Stp_percent_Crosses","Player_NumOPA_Sweeper","Player_NumOPA_per_90_Sweeper","AvgDist_Sweeper","Mins_Per_90","SeasonInteger"
"2023-2024","Manchester City","Premier League","Ederson","BRA","GK","30-033",0,0,0,0,0,0.1,0.1,0,1,0,0,0,0,0,0,0,0.01,0.01,0,0.01,"https://fbref.com/en/players/3bb7b8b4/Ederson",0,0,0,NA,0,0,NA,NA,NA,0,0,0,NA,0,0,0,0,196,234,83.8,4940,3433,51,51,100,98,101,97,47,82,57.3,0.1,0,-0.1,1,9,1,0,1,0,234,205,29,6,0,2,0,0,0,0,0,0,196,0,0,2,0.4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,237,178,235,2,0,0,237,0,0,NA,0,NA,163,685,414,0,0,0,0,0,167,0,90,100,5,90,5,0,NA,0,3,14,3,11,2.2,NA,12.2,3.6,8.6,1.72,NA,NA,0,0,1,0,0,0,0,0,0,9,1,0,100,0,0,0,3,0.6,10,7,70,5,0,0,2,40,0,0,0,0,NA,5,5,450,5,3,0,0,1,0,3.5,0.38,0.5,0.1,26,57,45.6,211,18,23.7,29.7,23,30.4,34.1,26,2,7.7,6,1.2,19.8,5,2023
"2023-2024","Manchester City","Premier League","Julián Álvarez","ARG","MF","23-231",2,5,2,0,0,1.1,2.9,15,17,33,0.4,0.6,1,0.4,1,0.37,0.21,0.59,0.37,0.59,"https://fbref.com/en/players/15ab5a2b/Julian-Alvarez",2,16,6,37.5,3.21,1.2,0.13,0.33,17.5,3,0,0,0.12,0.1,0.1,1.9,1.9,174,227,76.7,2433,580,105,122,86.1,42,56,75,13,29,44.8,1.1,1,1.9,16,8,8,1,17,3,227,196,29,7,4,0,30,3,17,5,9,0,174,2,4,22,4.41,16,4,1,0,1,0,5,1,4,0,0,0,1,0,3,3,1,1,1,0,5,0,5,7,0,7,4,0,0,268,0,14,99,157,22,268,4,3,75,1,25,165,832,475,15,16,4,7,4,200,33,90,99.8,5,90,4,0,NA,0,3,13,3,10,2,-88,12,3.6,8.4,1.68,-15.28,NA,0,7,3,0,30,3,1,0,0,12,1,6,14.3,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,449,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2023
"2023-2024","Manchester City","Premier League","Kyle Walker","ENG","DF","33-114",0,0,0,0,0,0.8,0.8,13,31,46,0,0,0,0,0,0.01,0.16,0.16,0.01,0.16,"https://fbref.com/en/players/86dd77d1/Kyle-Walker",0,2,0,0,0.4,0,0,NA,31.7,0,0,0,0.02,0,0,0,0,376,431,87.2,6379,1098,165,179,92.2,177,194,91.2,29,45,64.4,0.8,0.7,-0.8,7,25,10,1,31,0,431,398,33,5,0,1,13,28,0,0,0,0,376,0,7,14,2.81,13,0,0,0,1,0,3,0.6,3,0,0,0,0,0,6,3,3,3,0,3,3,100,0,2,0,2,7,6,0,463,15,82,244,139,11,463,9,5,55.6,2,22.2,281,1260,649,13,13,1,2,3,352,46,90,99.8,5,90,4,0,NA,0,3,14,3,11,2.2,2.2,12.2,3.6,8.6,1.72,-1.51,NA,0,3,4,1,13,3,0,0,0,33,4,2,66.7,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,449,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2023
"2023-2024","Manchester City","Premier League","Erling Haaland","NOR","FW","23-060",7,8,6,1,2,1.1,6.8,4,3,24,1.44,0.21,1.64,1.23,1.44,1.48,0.24,1.71,1.15,1.39,"https://fbref.com/en/players/1f44ac21/Erling-Haaland",7,27,13,48.1,5.55,2.67,0.22,0.46,11.5,0,1,2,0.21,-0.2,0.4,7.2,5.6,34,52,65.4,374,81,24,29,82.8,6,8,75,1,2,50,1.1,0.2,-0.1,7,0,3,0,3,1,52,51,1,0,2,0,0,0,0,0,0,0,34,0,5,11,2.26,6,0,0,4,1,0,2,0.41,0,0,0,2,0,0,0,0,0,0,0,0,0,NA,0,1,0,1,1,3,0,102,3,5,27,70,37,100,3,1,33.3,2,66.7,71,221,108,4,3,3,9,3,83,24,88,97.3,5,88,3,0,NA,0,3,14,3,11,2.26,2.26,12.1,3.5,8.5,1.75,1.18,NA,0,4,2,1,0,0,0,0,0,5,5,5,50,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,438,4.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.9,2023
"2023-2024","Manchester City","Premier League","Rodri","ESP","MF","27-089",2,3,2,0,0,0.9,1.9,14,52,10,0.41,0.21,0.62,0.41,0.62,0.21,0.19,0.4,0.21,0.4,"https://fbref.com/en/players/6434f10d/Rodri",2,14,7,50,2.9,1.45,0.14,0.29,20.4,0,0,0,0.07,1,1,1,1,541,572,94.6,9260,2503,253,261,96.9,226,238,95,47,54,87,0.9,1.5,0.1,6,61,8,0,52,1,572,567,5,2,3,4,3,0,2,0,0,0,541,0,2,31,6.41,25,0,1,3,1,1,3,0.62,3,0,0,0,0,0,13,8,4,8,1,4,7,57.1,3,4,0,4,16,7,2,621,17,102,410,111,13,621,10,8,80,2,20,422,1883,1074,14,15,2,4,3,514,10,87,96.7,5,87,4,0,NA,0,3,13,3,10,2.07,-3.93,12,3.6,8.4,1.74,0.61,NA,0,11,2,2,3,8,0,0,0,39,7,4,63.6,2,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,435,4.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.8,2023
"2023-2024","Manchester City","Premier League","Manuel Akanji","SUI","DF","28-062",0,0,0,0,0,0.1,0.1,7,16,2,0,0,0,0,0,0.01,0.02,0.03,0.01,0.03,"https://fbref.com/en/players/89ac64a6/Manuel-Akanji",0,1,0,0,0.25,0,0,NA,26.9,0,0,0,0.03,0,0,0,0,332,357,93,5151,1354,169,173,97.7,141,150,94,13,21,61.9,0.1,0.3,-0.1,3,24,0,0,16,0,357,353,4,3,2,0,1,1,0,0,0,0,332,0,1,9,2.25,9,0,0,0,0,0,2,0.5,2,0,0,0,0,0,8,4,2,5,1,5,8,62.5,3,5,3,2,13,9,0,388,30,135,226,28,2,388,0,0,NA,0,NA,264,1512,880,7,3,0,0,1,315,2,90,80,4,90,4,0,NA,0,3,12,2,10,2.5,1.5,8.7,2.9,5.7,1.43,-1.44,NA,0,1,3,0,1,4,0,0,0,21,4,2,66.7,0,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,360,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2023
"2023-2024","Manchester City","Premier League","Rúben Dias","POR","DF","26-128",0,0,0,0,0,0,0.2,7,22,4,0,0,0,0,0,0.06,0,0.06,0.06,0.06,"https://fbref.com/en/players/31c69ef1/Ruben-Dias",0,3,2,66.7,0.75,0.5,0,0,15.8,0,0,0,0.08,-0.2,-0.2,0.2,0.2,360,378,95.2,6433,1945,148,149,99.3,180,189,95.2,29,36,80.6,0,0.2,0,0,23,2,1,22,0,378,371,6,3,0,0,4,3,0,0,0,0,360,1,0,7,1.75,6,0,0,1,0,0,0,0,0,0,0,0,0,0,7,4,5,2,0,3,5,60,2,1,1,0,11,6,0,406,23,149,231,27,5,406,0,0,NA,0,NA,318,1765,1178,7,7,0,1,0,346,4,90,80,4,90,4,0,NA,0,3,11,3,8,2,-1,10.3,3.3,7,1.74,0.13,NA,0,3,3,0,4,4,0,0,0,14,5,3,62.5,0,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,360,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2023
"2023-2024","Manchester City","Premier League","Phil Foden","ENG","FW,MF","23-114",0,3,0,0,0,1.1,1.8,11,22,36,0,0.79,0.79,0,0.79,0.19,0.29,0.49,0.19,0.49,"https://fbref.com/en/players/ed1e53f3/Phil-Foden",0,12,3,25,3.18,0.79,0,0,17.6,0,0,0,0.06,-0.7,-0.7,0.7,0.7,160,195,82.1,2193,415,106,117,90.6,37,46,80.4,8,18,44.4,1.1,1,1.9,14,5,7,0,22,3,195,180,15,4,5,1,12,2,9,0,6,0,160,0,5,22,5.82,17,2,2,1,0,0,2,0.53,1,1,0,0,0,0,3,2,1,1,1,2,3,66.7,1,2,0,2,4,0,0,230,1,15,90,130,23,230,12,7,58.3,5,41.7,157,792,376,11,11,5,9,6,190,36,68,75.6,4,84,2,1,5,0,3,10,2,8,2.12,-0.34,8.3,3.3,5,1.33,-1.58,NA,0,3,7,0,12,2,0,0,0,19,0,4,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,340,3.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.8,2023
"2023-2024","Manchester City","Premier League","Mateo Kovačić","CRO","MF","29-136",0,0,0,0,0,0.7,0.9,11,25,12,0,0,0,0,0,0.04,0.19,0.24,0.04,0.24,"https://fbref.com/en/players/79c0821a/Mateo-Kovacic",0,4,1,25,1.1,0.28,0,0,22.3,0,0,0,0.04,-0.2,-0.2,0.2,0.2,269,290,92.8,3965,767,156,162,96.3,94,100,94,11,15,73.3,0.7,0.7,-0.7,4,17,6,0,25,0,290,281,9,5,2,0,0,1,0,0,0,0,269,0,3,13,3.6,12,0,0,0,1,0,2,0.55,2,0,0,0,0,0,5,5,3,1,1,3,4,75,1,5,0,5,6,2,0,317,6,32,213,74,2,317,7,4,57.1,1,14.3,219,1247,534,11,12,0,1,1,272,12,82,72.4,3,86,1,1,68,0,3,8,2,6,1.66,-1.97,7.4,2.2,5.2,1.44,-0.99,NA,0,4,5,0,0,5,0,0,0,15,0,2,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,326,3.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.6,2023
"2023-2024","Manchester City","Premier League","Bernardo Silva","POR","MF,FW","29-040",1,2,1,0,0,1,1.4,19,24,27,0.32,0.32,0.63,0.32,0.63,0.11,0.33,0.44,0.11,0.44,"https://fbref.com/en/players/3eb22ec9/Bernardo-Silva",1,1,1,100,0.32,0.32,1,1,4.7,0,0,0,0.35,0.6,0.6,0.4,0.4,200,222,90.1,3159,686,110,117,94,66,77,85.7,17,17,100,1,1.4,0,8,10,10,3,24,1,222,211,10,7,1,0,8,1,1,0,0,0,200,1,1,20,6.34,18,0,0,0,2,0,2,0.63,2,0,0,0,0,0,3,1,2,0,1,3,6,50,3,1,0,1,3,0,1,237,2,22,111,104,6,237,4,2,50,2,50,194,1300,683,19,12,3,3,3,203,27,71,63.1,3,90,2,1,15,0,3,9,2,7,2.22,0.05,9.2,1.9,7.3,2.31,1.61,NA,0,2,3,0,8,1,0,0,0,8,0,1,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,284,3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.2,2023
