"Team","Stadium","Capacity","Address","Phone","StadiumImg"
"AFC Bournemouth","Dean Court",11307,"Kings Park, Bournemouth BH7 7AF, United Kingdom","+44 344 576 1910","https://footballarroyo.co.uk/wp-content/uploads/2022/11/Dean-Court-Stadium-Capacity-Tickets-Seating-Plan-Records-Location-Parking.jpg"
"Arsenal FC","Emirates Stadium",60704,"Hornsey Rd, London N7 7AJ, United Kingdom","+44 20 7619 5000","https://upload.wikimedia.org/wikipedia/commons/2/29/London_Emirates_Stadium_arsenal.jpg"
"Aston Villa","Villa Park",42657,"Trinity Rd, Birmingham B6 6HE, United Kingdom","+44 33 3323 1874","https://upload.wikimedia.org/wikipedia/commons/thumb/f/fe/Birmingham_aston_villa_park_stadium.jpg/1200px-Birmingham_aston_villa_park_stadium.jpg"
"Brentford FC","Gtech Community Stadium",17250,"Lionel Rd S, Brentford TW8 0RU, United Kingdom","+44 333 005 8521","https://res.cloudinary.com/brentford-fc/image/upload/f_auto,q_auto:best,f_auto,c_fill,ar_16:9/Production/E17D9D94-220A-46C7-9DDE-5A481BF59360_yhcm1m.jpg"
"Brighton & Hove Albion","Falmer Stadium",31800,"Village Way, Brighton and Hove, Brighton BN1 9BL, United Kingdom","+44 1273 668855","https://2.bp.blogspot.com/-lcO4JvhVio4/V8nJKPIgBII/AAAAAAAABs8/QwFP7uXPiAEsgGCgtTlGYizVBE4egZmKwCEw/s1600/IMG_5522_2.jpg"
"Burnley FC","Turf Moor",21944,"Turf Moor, 52-56 Harry Potts Way, Burnley BB10 4BX, United Kingdom","+44 1282 446800","https://resources.premierleague.com/premierleague/photo/2020/12/05/f597a032-82f6-49d0-8857-6fa293c393bf/1289536896.jpg"
"Chelsea FC","Stamford Bridge",40343,"Fulham Rd., London SW6 1HS, United Kingdom","+44 207 565 1414","https://www.stadiumguide.com/wp-content/uploads/stamfordbridge_top.jpg"
"Crystal Palace","Selhurst Park",25486,"Holmesdale Rd, London SE25 6PU, United Kingdom","+44 20 8768 6000","https://upload.wikimedia.org/wikipedia/commons/f/fd/Selhurst_Park_Holmesdale_Stand.jpg"
"Everton FC","Goodison Park",39572,"Goodison Rd, Liverpool L4 4EL, United Kingdom","+44 151 556 1878","https://upload.wikimedia.org/wikipedia/commons/e/ed/Liverpool_fc_everton_stadium.jpg"
"Fulham FC","Craven Cottage",22384,"Stevenage Rd, London SW6 6HH, United Kingdom","+44 203 871 0810","https://s3.eu-west-1.amazonaws.com/gc-media-assets.fulhamfc.com/0d95f8a0-9a8d-11ea-82eb-e72516e18d3d.jpg"
"Liverpool FC","Anfield",53394,"Anfield Rd, Anfield, Liverpool L4 0TH, United Kingdom","+44 151 264 2500","https://nbcsports.brightspotcdn.com/dims4/default/3564562/2147483647/strip/true/crop/5616x3159+0+132/resize/1440x810!/quality/90/?url=https%3A%2F%2Fnbc-sports-production-nbc-sports.s3.amazonaws.com%2Fbrightspot%2Fda%2F39%2F4178679e24de53d20dc949dd0aa1%2Flfc-view01-final.jpg"
"Luton Town","Kenilworth Road",11500,"1 Maple Rd E, Luton LU4 8AW, United Kingdom","+44 158 2411 622","https://ichef.bbci.co.uk/news/976/cpsprodpb/17386/production/_108201159_gettyimages-656672884.jpg"
"Manchester City","Etihad Stadium",53400,"Etihad Stadium, Ashton New Rd, Manchester M11 3FF, United Kingdom","+44 161 444 1894","https://upload.wikimedia.org/wikipedia/commons/9/94/Manchester_city_etihad_stadium.jpg"
"Manchester United","Old Trafford",74310,"Sir Matt Busby Way, Old Trafford, Stretford, Manchester M16 0RA, United Kingdom","+44 161 676 7770","https://i2-prod.mirror.co.uk/incoming/article29529405.ece/ALTERNATES/s1200d/0_GettyImages-1472943422.jpg"
"Newcastle United","St James's Park",52305,"Barrack Rd, Newcastle upon Tyne NE1 4ST, United Kingdom","+44 844 372 1892","https://res.cloudinary.com/brentford-fc/image/upload/f_auto,q_auto:best,f_auto,q_100,c_fill,ar_16:9/Production/186CDA39-2DCB-471E-80CB-F0A78B826D01_s8cn0d.jpg"
"Nottingham Forest","City Ground",30332,"City Ground, Nottingham, NG2 5FJ","+44 115 982 4444","https://ichef.bbci.co.uk/news/976/cpsprodpb/B958/production/_121184474_gettyimages-656718056.jpg"
"Sheffield United","Bramall Lane",31884,"Bramall Lane, Sheffield, S2 4SU","+44 114 253 7200","https://upload.wikimedia.org/wikipedia/commons/b/b0/Sheffield_united_bramall_lane_stadium.jpg"
"Tottenham Hotspur","Tottenham Hotspur Stadium",62850,"782 High Rd, London N17 0BX, United Kingdom","+44 344 844 0102","https://upload.wikimedia.org/wikipedia/commons/b/be/London_Tottenham_Hotspur_Stadium.jpg"
"West Ham United","London Stadium",62500,"London E20 2ST, United Kingdom","+44 20 8522 6000","https://stillmed.olympics.com/media/Images/Olympic-Games/Olympic-Legacy/Olympic-Legacy-Stories/London-2012/2021/09/01/London-2012-London-Stadium.jpg"
"Wolverhampton Wanderers","Molineux Stadium",31750,"Waterloo Rd, Wolverhampton WV1 4QR, United Kingdom","+44 1902 658666","https://events.wolves.co.uk/wp-content/uploads/2020/03/Molineux-From-Above.jpg"
